probe,press,accuracy,rt,threshold,score,run_num
1,1,1,0.555536031723,0.45,-1,0
3,3,1,0.373995065689,0.45,1,0
2,2,1,0.412821054459,0.45,1,0
0,0,1,0.347361087799,0.45,1,0
3,3,1,0.382786035538,0.45,1,0
0,0,1,0.377675056458,0.45,1,0
2,2,1,0.349045038223,0.45,1,0
3,3,1,0.334685087204,0.45,1,0
1,1,1,0.332114934921,0.45,1,0
0,0,1,0.38334608078,0.45,1,0
1,0,0,0.392998933792,0.45,-2,0
2,2,1,0.411411046982,0.45,1,0
1,1,1,0.43271613121,0.45,1,0
3,3,1,0.401778936386,0.45,1,0
0,0,1,0.390871047974,0.45,1,0
2,2,1,0.377279043198,0.45,1,0
0,0,1,0.379952907562,0.45,1,0
3,3,1,0.381982088089,0.45,1,0
2,2,1,0.412235975266,0.45,1,0
1,1,1,0.382108926773,0.45,1,0
2,2,1,0.392540931702,0.45,1,0
3,3,1,0.406160831451,0.45,1,0
1,1,1,0.391889810562,0.45,1,0
0,0,1,0.412678956985,0.45,1,0
1,0,0,0.461560964584,0.45,-2,0
2,2,1,0.443691968918,0.45,1,0
0,0,1,0.427863121033,0.45,1,0
3,3,1,0.400183916092,0.45,1,0
0,0,1,0.397510051727,0.45,1,0
2,2,1,0.413888931274,0.45,1,0
3,3,1,0.424605846405,0.45,1,0
2,2,1,0.419903993607,0.45,1,0
1,1,1,0.378535985947,0.45,1,0
3,3,1,0.404974937439,0.45,1,0
1,1,1,0.365050077438,0.45,1,0
0,0,1,0.362430095673,0.45,1,0
1,-1,0,0.7,0.45,-2,0
0,1,0,0.0583019256592,0.45,-2,0
3,3,1,0.411685943604,0.45,1,0
2,2,1,0.44108915329,0.45,1,0
3,3,1,0.466014862061,0.45,-1,0
0,0,1,0.46871805191,0.45,-1,0
2,2,1,0.431982040405,0.45,1,0
1,1,1,0.358659982681,0.45,1,0
3,3,1,0.359575986862,0.45,1,0
1,1,1,0.322891950607,0.45,1,0
2,2,1,0.292749166489,0.45,1,0
0,0,1,0.299783945084,0.45,1,0
1,1,1,0.405269861221,0.45,1,0
3,3,1,0.42348408699,0.45,1,0
0,0,1,0.387686014175,0.45,1,0
2,2,1,0.375545024872,0.45,1,0
0,0,1,0.371154069901,0.45,1,0
3,3,1,0.366207838058,0.45,1,0
2,2,1,0.398141860962,0.45,1,0
3,3,1,0.45964384079,0.45,-1,0
1,1,1,0.400341033936,0.45,1,0
0,0,1,0.347262144089,0.45,1,0
1,1,1,0.435921907425,0.45,1,0
2,2,1,0.400217056274,0.45,1,0
1,1,1,0.387954950333,0.45,1,0
0,0,1,0.334589004517,0.45,1,0
3,3,1,0.345882892609,0.45,1,0
2,2,1,0.372220993042,0.45,1,0
3,3,1,0.434515953064,0.45,1,0
0,0,1,0.402632951736,0.45,1,0
2,2,1,0.367286920547,0.45,1,0
0,0,1,0.356470108032,0.45,1,0
1,-1,0,0.7,0.45,-2,0
2,2,1,0.328896999359,0.45,1,0
1,1,1,0.626790046692,0.45,-1,0
3,3,1,0.487015008926,0.45,-1,0
1,1,1,0.491927146912,0.45,-1,0
2,-1,0,0.7,0.45,-2,0
3,3,1,0.456007957458,0.45,-1,0
0,0,1,0.412019968033,0.45,1,0
3,2,0,0.383693933487,0.45,-2,0
2,2,1,0.385694026947,0.45,1,0
0,0,1,0.360316991806,0.45,1,0
