probe,press,accuracy,rt,threshold,score,run_num
2,2,1,0.571087837219,0.5,-1,0
3,3,1,0.478334903717,0.5,1,0
1,1,1,0.301518917084,0.5,1,0
4,4,1,0.363655805588,0.5,1,0
0,0,1,0.396192073822,0.5,1,0
1,1,1,0.500771999359,0.5,-1,0
2,2,1,0.287640810013,0.5,1,0
0,1,0,0.339697122574,0.5,-2,0
3,3,1,0.424072027206,0.5,1,0
4,4,1,0.327601194382,0.5,1,0
2,2,1,0.373506069183,0.5,1,0
3,3,1,0.499962091446,0.5,1,0
0,0,1,0.293510913849,0.5,1,0
4,3,0,0.483661174774,0.5,-2,0
1,1,1,0.44766497612,0.5,1,0
3,4,0,0.337038040161,0.5,-2,0
0,0,1,0.391935110092,0.5,1,0
4,3,0,0.384193181992,0.5,-2,0
2,2,1,0.444723129272,0.5,1,0
1,1,1,0.542233943939,0.5,-1,0
0,0,1,0.428992986679,0.5,1,0
2,2,1,0.592101812363,0.5,-1,0
3,3,1,0.497483968735,0.5,1,0
1,1,1,0.543778181076,0.5,-1,0
4,4,1,0.431113004684,0.5,1,0
2,2,1,0.44026684761,0.5,1,0
0,0,1,0.341238021851,0.5,1,0
4,4,1,0.446219921112,0.5,1,0
1,1,1,0.372879981995,0.5,1,0
3,3,1,0.298257827759,0.5,1,0
4,4,1,0.394519805908,0.5,1,0
1,1,1,0.416683912277,0.5,1,0
0,0,1,0.39875793457,0.5,1,0
3,4,0,0.414633989334,0.5,-2,0
2,3,0,0.44668006897,0.5,-2,0
3,3,1,0.563718080521,0.5,-1,0
1,1,1,0.482115030289,0.5,1,0
4,4,1,0.432051897049,0.5,1,0
0,0,1,0.399547100067,0.5,1,0
2,2,1,0.391268014908,0.5,1,0
4,4,1,0.358749866486,0.5,1,0
2,3,0,0.500079870224,0.5,-2,0
3,3,1,0.474387168884,0.5,1,0
1,1,1,0.316084861755,0.5,1,0
0,0,1,0.280359983444,0.5,1,0
3,3,1,0.554162025452,0.5,-1,0
2,2,1,0.470484018326,0.5,1,0
1,1,1,0.334698200226,0.5,1,0
0,0,1,0.351212978363,0.5,1,0
4,4,1,0.387720823288,0.5,1,0
3,3,1,0.356044054031,0.5,1,0
1,1,1,0.392703056335,0.5,1,0
4,4,1,0.395419120789,0.5,1,0
0,0,1,0.385395050049,0.5,1,0
2,3,0,0.361023187637,0.5,-2,0
4,3,0,0.372330188751,0.5,-2,0
2,2,1,0.453868865967,0.5,1,0
0,0,1,0.469915866852,0.5,1,0
3,3,1,0.404039859772,0.5,1,0
1,1,1,0.432629823685,0.5,1,0
2,2,1,0.321189880371,0.5,1,0
3,3,1,0.416944980621,0.5,1,0
1,1,1,0.485636949539,0.5,1,0
0,0,1,0.404698848724,0.5,1,0
4,4,1,0.402633905411,0.5,1,0
1,1,1,0.385498046875,0.5,1,0
3,3,1,0.29772901535,0.5,1,0
0,0,1,0.288969039917,0.5,1,0
4,4,1,0.313585042953,0.5,1,0
2,2,1,0.375449895859,0.5,1,0
1,1,1,0.487222909927,0.5,1,0
2,2,1,0.398550987244,0.5,1,0
0,0,1,0.36581993103,0.5,1,0
4,3,0,0.316300868988,0.5,-2,0
3,3,1,0.343863010406,0.5,1,0
1,0,0,0.34672498703,0.5,-2,0
0,0,1,0.296852111816,0.5,1,0
2,2,1,0.367021083832,0.5,1,0
3,3,1,0.405111074448,0.5,1,0
4,4,1,0.507972002029,0.5,-1,0
3,2,0,0.738605976105,0.5,-2,0
2,2,1,0.514039993286,0.5,-1,0
1,1,1,0.355380058289,0.5,1,0
0,0,1,0.550343990326,0.5,-1,0
4,4,1,0.471255064011,0.5,1,0
2,2,1,0.460666894913,0.5,1,0
1,1,1,0.412457942963,0.5,1,0
0,1,0,0.378630876541,0.5,-2,0
4,4,1,0.395965099335,0.5,1,0
3,3,1,0.555535078049,0.5,-1,0
1,1,1,0.433779001236,0.5,1,0
2,2,1,0.466279983521,0.5,1,0
4,4,1,0.471868991852,0.5,1,0
0,0,1,0.390008926392,0.5,1,0
